weights,PRE_approvalOfPresidentCovidResponse,PRE_ThermoBiden,PRE_ThermoTrump,PRE_ThermoHarris,PRE_ThermoPence,PRE_ThermoObama,PRE_ThermoDemParty,PRE_ThermoRepParty,PRE_YearsAtAddress,PRE_SummaryVoteDutyChoice,PRE_PartyID,PRE_ScaleGovAssistance,PRE_religionImportance,PRE_CountryDirection,PRE_GovTrust,PRE_EconomyView,Age,Income,HouseholdChildren,PRE_VoteAccuracy,PRE_SurveySeriousness,PRE_ScaleDefenseSpending,PRE_ScaleMedInsurance,PRE_ScaleJobIncome,POST_VoteAccuracy,POST_ThermoHarris,POST_ThermoPence,POST_ThermoBiden,POST_ThermoTrump,mentionFox,mentionABC,mentionCNN,interviewMode_Telephone,interviewMode_Web,PRE_VotePresident_Donald Trump,PRE_VotePresident_Jo Jorgensen,PRE_VotePresident_Howie Hawkins,PRE_VotePresident_Other,PRE_RaceOutcomePrediction_Win by quite a bit,PRE_ParentNativeStatus_One parent born in the US,PRE_ParentNativeStatus_Both parents born in another country,Sex_Female,PRE_AbortionRightsSC_Upset,PRE_AbortionRightsSC_Neither pleased nor upset,EducationLevel_High school graduate,EducationLevel_Some college but no degree,EducationLevel_Associate degree - occupational/vocational,EducationLevel_Associate degree - academic,EducationLevel_Bachelor’s degree,EducationLevel_Master’s degree,EducationLevel_Professional/Doctoral degree,"WorkStatus_No, did not work (or retired)","Race_Black, non-Hispanic",Race_Hispanic,"Race_Asian/Pacific Islander, non-Hispanic","Race_Native American/Alaska Native, non-Hispanic","Race_Multiple races, non-Hispanic",StateRegistration_Alaska,StateRegistration_Arizona,StateRegistration_Arkansas,StateRegistration_California,StateRegistration_Colorado,StateRegistration_Connecticut,StateRegistration_Delaware,StateRegistration_Washington DC,StateRegistration_Florida,StateRegistration_Georgia,StateRegistration_Hawaii,StateRegistration_Idaho,StateRegistration_Illinois,StateRegistration_Indiana,StateRegistration_Iowa,StateRegistration_Kansas,StateRegistration_Kentucky,StateRegistration_Louisiana,StateRegistration_Maine,StateRegistration_Maryland,StateRegistration_Massachusetts,StateRegistration_Michigan,StateRegistration_Minnesota,StateRegistration_Mississippi,StateRegistration_Missouri,StateRegistration_Montana,StateRegistration_Nebraska,StateRegistration_Nevada,StateRegistration_New Hampshire,StateRegistration_New Jersey,StateRegistration_New Mexico,StateRegistration_New York,StateRegistration_North Carolina,StateRegistration_North Dakota,StateRegistration_Ohio,StateRegistration_Oklahoma,StateRegistration_Oregon,StateRegistration_Pennsylvania,StateRegistration_Rhode Island,StateRegistration_South Carolina,StateRegistration_South Dakota,StateRegistration_Tennessee,StateRegistration_Texas,StateRegistration_Utah,StateRegistration_Vermont,StateRegistration_Virginia,StateRegistration_Washington,StateRegistration_West Virginia,StateRegistration_Wisconsin,StateRegistration_Wyoming,PRE_PartyMoreHouseMembers_incorrect (R),PRE_CorruptionView_Decreased,PRE_CorruptionView_Stayed the same,POST_Voted2020_Registered and did not vote,POST_Voted2020_Voted,POST_VotePresident_Donald Trump,POST_VotePresident_Jo Jorgensen,POST_VotePresident_Howie Hawkins,POST_ProblemMention_Race relations,POST_ProblemMention_Partisan politics,POST_ProblemMention_Politicians,POST_ProblemMention_Government (all other),POST_ProblemMention_The economy,POST_ProblemMention_Recession,POST_ProblemMention_Elections,POST_ProblemMention_Unity /division,POST_ProblemMention_Health care,POST_ProblemMention_Other
0.58,1,15,100,0,85,15,0,85,15.0,2,5,3,3,5,4,2,62.0,9,0,2,5,6,2,6,3,0,100,0,100,1,0,1,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
1.79,4,60,15,70,15,70,40,40,4.0,4,5,2,5,4,4,2,35.0,18,0,4,5,1,1,4,1,70,0,50,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.48,4,70,0,50,50,100,60,30,2.0,2,1,5,4,2,3,4,41.0,15,2,3,5,5,3,4,1,50,50,85,0,0,0,1,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.75,4,70,15,60,70,85,60,30,1.0,1,3,5,3,3,3,5,70.0,12,0,4,5,2,4,3,2,30,72,22,63,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
1.14,1,0,100,0,100,0,0,100,40.0,7,7,3,3,3,2,1,66.0,14,0,3,5,7,4,4,4,0,100,0,100,1,0,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.53,2,50,50,0,85,30,40,40,17.0,1,5,3,2,2,5,3,61.0,6,3,3,5,4,4,5,4,50,85,15,60,1,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
5.14,4,50,70,50,50,60,60,60,2.0,1,4,7,2,3,5,3,52.0,4,0,2,3,3,3,1,3,40,40,60,85,0,1,1,False,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.61,4,85,30,50,50,100,50,50,1.0,6,5,6,4,3,2,3,26.0,6,0,3,4,4,3,3,2,50,50,70,50,0,0,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.06,4,60,50,80,15,70,40,50,10.0,7,5,3,5,2,3,2,34.0,1,0,2,5,5,2,5,2,75,40,70,45,0,1,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1.26,1,0,100,0,50,0,45,65,1.0,4,6,4,3,3,3,3,34.0,1,0,3,2,4,4,4,3,60,50,0,100,1,0,1,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
